Region,Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
North America,United States of America,Clothes,2010-10-21,699368035,7398,109.28
Middle East and North Africa,Jordan,Vegetables,2015-06-13,698002040,3170,154.06
Europe,Cyprus,Snacks,2012-03-29,584534299,5544,152.58
Sub-Saharan Africa,Malawi,Vegetables,2012-06-22,384013640,7025,154.06
Europe,Iceland,Personal Care,2013-05-10,641801393,2149,81.73
Middle East and North Africa,Israel,Personal Care,2016-12-10,173571383,2484,81.73
Middle East and North Africa,United Arab Emirates,Snacks,2011-03-20,115309941,1629,152.58
Asia,China,Cosmetics,2011-09-22,773315894,213,437.2
Sub-Saharan Africa,Kenya,Beverages,2012-05-11,274200570,897,47.45
Middle East and North Africa,Somalia,Clothes,2011-11-15,414887797,3374,109.28
Australia and Oceania,Tonga,Beverages,2010-01-27,812613904,9367,47.45
Asia,Bangladesh,Baby Food,2011-08-17,254927718,7632,255.28
Middle East and North Africa,Egypt,Beverages,2014-09-06,749690568,8954,47.45
Sub-Saharan Africa,Eritrea,Cereal,2014-09-03,775076282,1150,205.7
Sub-Saharan Africa,Swaziland,Office Supplies,2015-09-05,229571187,4071,651.21
Asia,Vietnam,Baby Food,2011-06-20,881974112,4594,255.28
Australia and Oceania,Marshall Islands,Snacks,2012-01-12,521396386,1632,152.58
Asia,Taiwan,Household,2017-01-23,607261836,1127,668.27
Europe,Ireland,Vegetables,2012-03-04,419306790,1052,154.06
Sub-Saharan Africa,Rwanda,Meat,2010-07-18,207580077,6413,421.89
Europe,Sweden,Snacks,2011-04-12,742443025,4245,152.58
Sub-Saharan Africa,Gabon,Snacks,2010-10-03,164569461,8615,152.58
Sub-Saharan Africa,South Africa,Baby Food,2013-12-29,734945714,5624,255.28
Europe,United Kingdom,Clothes,2015-09-19,284870612,8399,109.28
Europe,Albania,Fruits,2011-09-17,765955483,2104,9.33
Asia,Malaysia,Snacks,2010-03-11,600124156,8929,152.58
Sub-Saharan Africa,Ghana,Household,2012-11-10,529612958,3098,668.27
Central America and the Caribbean,Cuba,Clothes,2011-02-16,466970717,5867,109.28
Central America and the Caribbean,Saint Lucia,Cosmetics,2012-08-13,845058763,522,437.2
Europe,Romania,Snacks,2014-08-28,367050921,7379,152.58
Europe,Portugal,Office Supplies,2015-08-19,956433522,8788,651.21
Europe,Macedonia,Beverages,2011-03-20,107005393,4129,47.45
Asia,China,Beverages,2013-04-16,332877862,4811,47.45
Europe,Germany,Baby Food,2015-11-13,618474757,9279,255.28
Europe,Ireland,Household,2014-01-10,468532407,8006,668.27
Europe,Poland,Office Supplies,2015-04-09,358099639,8496,651.21
Sub-Saharan Africa,Namibia,Household,2013-01-07,382537782,285,668.27
Asia,Uzbekistan,Personal Care,2013-02-12,707520663,9942,81.73
Sub-Saharan Africa,Zimbabwe,Meat,2014-11-28,219034612,6064,421.89
Asia,Mongolia,Meat,2015-01-03,573378455,4281,421.89
Europe,Norway,Personal Care,2011-02-03,347163522,2256,81.73
Middle East and North Africa,Oman,Snacks,2013-04-09,887313640,4679,152.58
Europe,Serbia,Cosmetics,2017-07-26,461065137,8275,437.2
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,2017-04-15,105966842,6798,9.33
Europe,Bulgaria,Baby Food,2014-05-16,479880082,6035,255.28
Asia,Brunei,Baby Food,2015-08-12,510978686,8803,255.28
Europe,Serbia,Snacks,2013-09-20,547748982,9951,152.58
Sub-Saharan Africa,Ghana,Cereal,2013-10-31,108989799,1358,205.7
Sub-Saharan Africa,Malawi,Cereal,2014-07-30,133812463,6936,205.7
Sub-Saharan Africa,Zimbabwe,Fruits,2011-11-12,731640803,7627,9.33
Europe,Cyprus,Snacks,2010-03-25,732211148,6405,152.58
Central America and the Caribbean,Nicaragua,Cereal,2011-07-04,835572326,3274,205.7
Europe,Estonia,Baby Food,2011-01-01,462085664,271,255.28
Europe,Estonia,Clothes,2016-06-16,902424991,6463,109.28
Europe,Lithuania,Fruits,2013-12-17,367576634,2949,9.33
Sub-Saharan Africa,Republic of the Congo,Meat,2017-03-01,738839423,7859,421.89
Europe,Czech Republic,Baby Food,2010-07-02,817824685,1353,255.28
Sub-Saharan Africa,Cameroon,Snacks,2013-07-16,376456248,624,152.58
Asia,Vietnam,Office Supplies,2016-08-16,606970441,4897,651.21
Europe,"Moldova ",Meat,2014-12-16,971916091,424,421.89
Middle East and North Africa,Bahrain,Office Supplies,2012-05-14,554154527,5494,651.21
Europe,Hungary,Household,2017-07-18,306859576,5423,668.27
Australia and Oceania,Marshall Islands,Personal Care,2017-07-09,803517568,7559,81.73
Middle East and North Africa,Iraq,Office Supplies,2011-09-30,887927329,6283,651.21
Europe,Albania,Vegetables,2015-11-24,824200189,8006,154.06
Sub-Saharan Africa,Lesotho,Office Supplies,2012-08-14,946759974,6170,651.21
Middle East and North Africa,Lebanon,Clothes,2015-12-06,310343015,6249,109.28
Europe,Hungary,Vegetables,2014-05-25,739998137,748,154.06
Asia,Japan,Beverages,2012-10-18,981086671,4203,47.45
Europe,Georgia,Office Supplies,2013-03-13,749282443,8180,651.21
Europe,Estonia,Office Supplies,2011-02-23,280571782,6280,651.21
Europe,Luxembourg,Household,2014-08-15,781253516,9131,668.27
Sub-Saharan Africa,Swaziland,Personal Care,2017-07-06,377938973,9396,81.73
Europe,Romania,Clothes,2010-12-31,867551982,6765,109.28
Sub-Saharan Africa,Ethiopia,Personal Care,2010-01-13,967328870,2964,81.73
Sub-Saharan Africa,Chad,Office Supplies,2011-09-17,364818465,6746,651.21
Middle East and North Africa,Morocco,Office Supplies,2014-03-08,167882096,8898,651.21
North America,Mexico,Clothes,2012-11-18,654693591,7237,109.28
Sub-Saharan Africa,Nigeria,Personal Care,2011-11-18,823739278,1612,81.73
Central America and the Caribbean,Trinidad and Tobago,Beverages,2012-07-12,643817985,8904,47.45
Europe,"Moldova ",Personal Care,2017-03-30,604041039,8022,81.73
Australia and Oceania,Solomon Islands,Personal Care,2010-07-26,363832271,4909,81.73
Asia,India,Personal Care,2015-12-24,102928006,7539,81.73
Sub-Saharan Africa,Burkina Faso,Office Supplies,2016-05-15,971377074,917,651.21
Australia and Oceania,Kiribati,Meat,2010-11-03,139540803,2079,421.89
Middle East and North Africa,Israel,Meat,2010-12-01,248093020,5093,421.89
Sub-Saharan Africa,Comoros,Snacks,2014-01-16,858020055,6056,152.58
Middle East and North Africa,Iran,Baby Food,2014-12-11,700620734,8099,255.28
Asia,Vietnam,Cosmetics,2016-12-24,827506387,6384,437.2
Central America and the Caribbean,Belize,Household,2013-03-21,560600841,3101,668.27
Europe,Belarus,Personal Care,2012-12-08,642140424,2476,81.73
North America,United States of America,Baby Food,2015-02-13,984673964,5763,255.28
Europe,Poland,Beverages,2012-03-28,221062791,6247,47.45
North America,Canada,Vegetables,2016-10-07,654480731,4247,154.06
Middle East and North Africa,Israel,Beverages,2011-12-15,608414113,2111,47.45
Middle East and North Africa,Lebanon,Household,2016-03-08,276661765,9219,668.27
Europe,Andorra,Baby Food,2011-01-18,373335015,6982,255.28
Europe,Slovakia,Clothes,2013-04-11,782857692,3843,109.28
Sub-Saharan Africa,Liberia,Fruits,2010-05-18,109966123,274,9.33
Central America and the Caribbean,"Antigua and Barbuda ",Cereal,2017-06-05,629709136,3782,205.7
Asia,China,Personal Care,2012-09-11,637448060,3901,81.73
Sub-Saharan Africa,Niger,Baby Food,2017-03-08,298856723,7200,255.28
Europe,United Kingdom,Household,2015-01-28,299921452,2278,668.27
Asia,Bangladesh,Personal Care,2010-07-26,496941077,4763,81.73
Asia,Myanmar,Snacks,2016-06-24,366526925,2317,152.58
Australia and Oceania,Tonga,Meat,2012-08-18,355602824,9633,421.89
Sub-Saharan Africa,Guinea-Bissau,Vegetables,2010-03-11,531405103,3434,154.06
Australia and Oceania,Nauru,Vegetables,2010-01-14,131482589,7475,154.06
Sub-Saharan Africa,Swaziland,Cereal,2014-02-10,713696610,7542,205.7
Europe,Finland,Vegetables,2014-01-21,306220996,6452,154.06
Australia and Oceania,Papua New Guinea,Household,2010-02-28,157542073,9055,668.27
Sub-Saharan Africa,"Mauritius ",Personal Care,2015-02-18,686458671,7230,81.73
Sub-Saharan Africa,Mozambique,Office Supplies,2012-06-14,132082116,4888,651.21
Europe,Bulgaria,Clothes,2013-03-05,403836238,2972,109.28
Europe,Spain,Household,2014-04-10,331457364,4455,668.27
Australia and Oceania,Vanuatu,Meat,2017-07-26,614994323,9341,421.89
Europe,Belgium,Fruits,2010-10-19,674808442,9669,9.33
Europe,Belgium,Baby Food,2016-11-08,901573550,4503,255.28
Sub-Saharan Africa,Guinea-Bissau,Clothes,2014-03-31,406275975,4944,109.28
Sub-Saharan Africa,Togo,Vegetables,2016-08-18,170214545,9121,154.06
Sub-Saharan Africa,Cote d'Ivoire,Personal Care,2016-01-03,795000588,7196,81.73
Sub-Saharan Africa,Republic of the Congo,Fruits,2016-10-21,252557933,6360,9.33
Middle East and North Africa,Libya,Baby Food,2016-12-10,635122907,5837,255.28
Australia and Oceania,East Timor,Vegetables,2011-08-12,505244338,1882,154.06
Europe,Switzerland,Clothes,2012-03-23,745783555,2782,109.28
Australia and Oceania,Palau,Snacks,2012-04-27,509914386,3853,152.58
Middle East and North Africa,Jordan,Household,2014-01-29,371123158,2445,668.27
Europe,Slovenia,Household,2016-12-13,973208701,2936,668.27
Asia,South Korea,Baby Food,2013-11-21,780282342,1739,255.28
Europe,Norway,Clothes,2010-04-07,126767909,2296,109.28
Middle East and North Africa,Afghanistan,Baby Food,2012-07-08,767401731,80,255.28
Asia,Bangladesh,Personal Care,2016-10-15,927232635,7597,81.73
Sub-Saharan Africa,Guinea,Meat,2012-09-18,251621949,9381,421.89
Central America and the Caribbean,Cuba,Office Supplies,2017-07-02,256243503,7002,651.21
Europe,Russia,Cosmetics,2011-07-21,277083623,4056,437.2
Sub-Saharan Africa,"Seychelles ",Vegetables,2010-06-01,620441138,1175,154.06
Asia,South Korea,Office Supplies,2015-07-26,312927377,1020,651.21
Sub-Saharan Africa,Ghana,Baby Food,2010-08-06,251466166,3282,255.28
Central America and the Caribbean,Costa Rica,Office Supplies,2010-06-20,953293836,9685,651.21
Europe,Romania,Cereal,2012-04-08,305959212,8985,205.7
Europe,Czech Republic,Cereal,2014-02-27,317323625,1967,205.7
Europe,Liechtenstein,Household,2011-07-25,365560901,6449,668.27
Sub-Saharan Africa,"Seychelles ",Baby Food,2016-02-18,349157369,2279,255.28
Middle East and North Africa,Somalia,Baby Food,2014-01-24,236911857,6338,255.28
Australia and Oceania,Solomon Islands,Personal Care,2015-05-10,517935693,7536,81.73
Sub-Saharan Africa,Uganda,Clothes,2012-02-13,851652705,1816,109.28
Sub-Saharan Africa,Equatorial Guinea,Cereal,2012-09-07,517799222,7151,205.7
Central America and the Caribbean,Costa Rica,Office Supplies,2015-02-04,666424071,8547,651.21
Europe,"Moldova ",Fruits,2010-11-16,267888581,3039,9.33
Sub-Saharan Africa,Burkina Faso,Vegetables,2011-07-20,162866580,4695,154.06
Central America and the Caribbean,Guatemala,Beverages,2014-07-26,812344396,9614,47.45
Sub-Saharan Africa,Swaziland,Meat,2014-08-24,947620856,924,421.89
Asia,Maldives,Vegetables,2015-02-25,720307290,3789,154.06
Asia,Thailand,Household,2016-09-21,352327525,399,668.27
Sub-Saharan Africa,Sudan,Household,2013-06-28,585917890,4979,668.27
Central America and the Caribbean,Costa Rica,Meat,2012-01-05,433627212,8783,421.89
Europe,Denmark,Beverages,2012-05-01,328316819,5098,47.45
Sub-Saharan Africa,Angola,Cereal,2011-10-13,773160541,4240,205.7
Australia and Oceania,Papua New Guinea,Household,2016-04-27,991644704,8559,668.27
Asia,North Korea,Meat,2014-01-19,277568137,7435,421.89
Central America and the Caribbean,El Salvador,Fruits,2016-11-06,245042169,2278,9.33
Sub-Saharan Africa,Burkina Faso,Household,2011-02-28,778490626,1531,668.27
Middle East and North Africa,Yemen,Baby Food,2014-10-11,482649838,5668,255.28
Sub-Saharan Africa,Republic of the Congo,Beverages,2012-06-25,732568633,2193,47.45
Europe,Andorra,Household,2012-11-06,723608338,642,668.27
Central America and the Caribbean,Dominican Republic,Household,2014-02-24,621442782,7584,668.27
Middle East and North Africa,Israel,Baby Food,2015-09-19,212058293,1616,255.28
Australia and Oceania,Solomon Islands,Snacks,2014-03-04,251753699,8369,152.58
Sub-Saharan Africa,Liberia,Fruits,2014-10-08,217140328,5503,9.33
Sub-Saharan Africa,Mali,Vegetables,2012-06-19,555142009,7712,154.06
Asia,Uzbekistan,Clothes,2010-11-11,432995069,1718,109.28
Middle East and North Africa,"Tunisia ",Personal Care,2010-11-01,888248336,1276,81.73
Europe,Vatican City,Vegetables,2014-04-28,778763139,2173,154.06
Sub-Saharan Africa,Djibouti,Snacks,2012-12-22,832713305,7227,152.58
Europe,Ukraine,Household,2014-08-25,498585164,1285,668.27
Australia and Oceania,East Timor,Fruits,2016-11-26,195177543,6227,9.33
Sub-Saharan Africa,Uganda,Cereal,2010-10-20,861601769,5965,205.7
Sub-Saharan Africa,Guinea,Meat,2014-12-18,807281672,1441,421.89
Sub-Saharan Africa,Equatorial Guinea,Clothes,2011-03-20,661953580,5629,109.28
Europe,Malta,Cosmetics,2016-07-12,225666320,8534,437.2
Europe,Cyprus,Household,2011-01-26,718781220,2191,668.27
Europe,Czech Republic,Office Supplies,2010-02-24,731972110,5668,651.21
Middle East and North Africa,Libya,Vegetables,2015-01-02,276225316,64,154.06
Asia,Vietnam,Office Supplies,2016-07-26,332839667,3509,651.21
Middle East and North Africa,Jordan,Vegetables,2014-06-01,603426492,6163,154.06
Sub-Saharan Africa,Mali,Beverages,2012-12-21,859909617,5220,47.45
Europe,Czech Republic,Household,2010-02-27,494525372,9902,668.27
Europe,Slovakia,Vegetables,2016-04-24,769822585,6465,154.06
Sub-Saharan Africa,Zimbabwe,Vegetables,2012-07-22,768662583,3195,154.06
Central America and the Caribbean,Honduras,Cereal,2015-02-22,544219195,5409,205.7
Europe,Switzerland,Beverages,2011-02-10,669978749,455,47.45
Sub-Saharan Africa,South Africa,Cosmetics,2015-01-21,889740073,2715,437.2
Sub-Saharan Africa,Uganda,Beverages,2012-05-10,567614495,8598,47.45
Middle East and North Africa,Iran,Vegetables,2015-12-16,938025844,1547,154.06
Middle East and North Africa,Algeria,Vegetables,2017-02-25,155710446,7036,154.06
Sub-Saharan Africa,Central African Republic,Baby Food,2012-01-31,945717132,7570,255.28
Central America and the Caribbean,The Bahamas,Cosmetics,2013-02-07,253407227,7685,437.2
Sub-Saharan Africa,South Africa,Household,2014-09-14,494454562,8948,668.27
Sub-Saharan Africa,Benin,Cereal,2012-06-05,104845464,4957,205.7
Europe,Hungary,Cosmetics,2014-04-05,290878760,6344,437.2
Europe,Austria,Office Supplies,2014-02-02,979165780,5768,651.21
Asia,Tajikistan,Office Supplies,2010-09-01,366630351,2923,651.21
Europe,Portugal,Office Supplies,2011-05-17,770508801,9532,651.21
Europe,Belgium,Beverages,2013-04-21,978349959,4349,47.45
Europe,Slovenia,Beverages,2014-08-10,298015153,8161,47.45
Europe,Czech Republic,Snacks,2010-09-19,807678210,8786,152.58
Australia and Oceania,Marshall Islands,Personal Care,2013-04-13,605825459,6071,81.73
Sub-Saharan Africa,Sudan,Fruits,2016-01-28,561255729,6897,9.33
Central America and the Caribbean,Dominican Republic,Clothes,2013-12-09,263080346,175,109.28
Sub-Saharan Africa,Tanzania,Cereal,2014-02-21,270723140,1848,205.7
Europe,Switzerland,Clothes,2017-06-09,763920438,9888,109.28
North America,Greenland,Household,2014-04-17,192721068,9302,668.27
Australia and Oceania,Tonga,Fruits,2011-05-20,227486360,7124,9.33
Middle East and North Africa,Saudi Arabia,Vegetables,2012-08-28,808890140,7422,154.06
Central America and the Caribbean,Belize,Cosmetics,2015-07-25,597918736,6296,437.2
Sub-Saharan Africa,Angola,Cosmetics,2014-10-27,125870978,6874,437.2
Asia,Malaysia,Household,2013-10-18,444358193,4319,668.27
Sub-Saharan Africa,Ethiopia,Beverages,2013-02-15,875304210,822,47.45
North America,Greenland,Baby Food,2014-07-08,360945355,607,255.28
Sub-Saharan Africa,Benin,Cereal,2016-12-12,613830459,4928,205.7
Middle East and North Africa,Yemen,Cereal,2012-11-24,266820847,7073,205.7
Sub-Saharan Africa,Rwanda,Baby Food,2014-11-03,723090350,7358,255.28
Sub-Saharan Africa,Mauritania,Meat,2013-08-03,306125295,8132,421.89
Australia and Oceania,New Zealand,Personal Care,2012-05-23,109724509,8775,81.73
Australia and Oceania,"Samoa ",Clothes,2015-07-22,847999322,699,109.28
Australia and Oceania,Fiji,Clothes,2017-02-01,605373561,2344,109.28
Sub-Saharan Africa,Malawi,Beverages,2012-01-28,686583554,4186,47.45
Australia and Oceania,Marshall Islands,Beverages,2015-08-03,666678130,3729,47.45
Central America and the Caribbean,Grenada,Baby Food,2013-06-23,641018617,508,255.28
Europe,Luxembourg,Meat,2011-08-03,775278842,1093,421.89
Sub-Saharan Africa,Zimbabwe,Meat,2016-10-30,855445134,4080,421.89
Asia,China,Vegetables,2010-09-05,737816321,5100,154.06
North America,United States of America,Beverages,2013-07-13,799003732,1815,47.45
Sub-Saharan Africa,Central African Republic,Vegetables,2012-10-09,585931193,8916,154.06
Central America and the Caribbean,"Antigua and Barbuda ",Vegetables,2012-01-03,165835034,3127,154.06
Central America and the Caribbean,Guatemala,Baby Food,2012-02-08,576264083,8203,255.28
Middle East and North Africa,Qatar,Clothes,2015-01-03,675079667,9930,109.28
Middle East and North Africa,Israel,Personal Care,2012-05-13,290455615,1126,81.73
Asia,Thailand,Snacks,2012-01-13,670878255,6639,152.58
Asia,Singapore,Cereal,2011-07-30,435146415,8349,205.7
Asia,North Korea,Snacks,2017-03-13,522371423,167,152.58
Europe,Austria,Office Supplies,2017-03-23,141977107,3036,651.21
Asia,Japan,Baby Food,2016-03-16,823699796,9929,255.28
Sub-Saharan Africa,Zimbabwe,Beverages,2015-12-18,567588317,851,47.45
Europe,Lithuania,Fruits,2011-10-25,594003999,7838,9.33
Europe,Luxembourg,Baby Food,2011-06-30,393620669,9958,255.28
Sub-Saharan Africa,Central African Republic,Cosmetics,2016-03-27,877424657,8309,437.2
Europe,Norway,Household,2016-12-23,326714789,1021,668.27
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,2013-04-18,243102395,8256,9.33
Australia and Oceania,New Zealand,Household,2017-03-08,398511302,7205,668.27
Europe,Ukraine,Personal Care,2011-06-03,185177838,7092,81.73
Asia,Taiwan,Personal Care,2013-11-30,865650832,4173,81.73
Europe,Italy,Cereal,2013-05-11,622791612,6733,205.7
Europe,Finland,Personal Care,2010-11-13,409774005,89,81.73
Sub-Saharan Africa,Sudan,Office Supplies,2016-03-09,800084340,1591,651.21
Europe,Croatia,Snacks,2013-08-19,637521445,5618,152.58
Sub-Saharan Africa,Mauritania,Beverages,2011-04-19,186196649,8581,47.45
Australia and Oceania,New Zealand,Baby Food,2014-07-20,680533778,3923,255.28
Middle East and North Africa,Pakistan,Beverages,2014-09-08,275269162,7117,47.45
Europe,Poland,Household,2015-06-04,795451629,668,668.27
Europe,Lithuania,Cereal,2013-12-19,986442506,9113,205.7
Middle East and North Africa,Pakistan,Cereal,2012-05-18,563915622,4019,205.7
Australia and Oceania,East Timor,Cosmetics,2013-10-12,663857305,8984,437.2
Australia and Oceania,Marshall Islands,Fruits,2011-01-02,692566382,4638,9.33
Central America and the Caribbean,Cuba,Household,2013-02-02,576654183,3642,668.27
North America,Greenland,Baby Food,2011-03-19,313044536,5689,255.28
Europe,Luxembourg,Personal Care,2012-10-03,418973767,2503,81.73
Middle East and North Africa,Israel,Beverages,2014-10-23,581990706,2838,47.45
Sub-Saharan Africa,Djibouti,Baby Food,2015-07-12,109956681,7480,255.28
Europe,Bulgaria,Cereal,2010-05-06,181045520,4247,205.7
Asia,Mongolia,Vegetables,2010-11-27,693743550,2988,154.06
Central America and the Caribbean,Dominican Republic,Clothes,2010-12-26,716849601,582,109.28
Middle East and North Africa,Yemen,Cosmetics,2012-12-30,739474999,5940,437.2
Australia and Oceania,Federated States of Micronesia,Personal Care,2016-08-21,421043574,5005,81.73
Europe,Finland,Personal Care,2015-02-03,841291654,5751,81.73
Central America and the Caribbean,The Bahamas,Cereal,2013-12-19,450268065,3181,205.7
